Date,PX_LAST
1/1/10,100
1/4/10,100.474
1/5/10,100.996
1/6/10,101.421
1/7/10,101.796
1/8/10,101.987
1/11/10,102.189
1/12/10,102.276
1/13/10,102.308
1/14/10,102.37
1/15/10,102.381
1/18/10,102.44
1/19/10,102.406
1/20/10,102.355
1/21/10,102.277
1/22/10,102.002
1/25/10,101.813
1/26/10,101.731
1/27/10,101.669
1/28/10,101.69
1/29/10,101.674
2/1/10,101.623
2/2/10,101.625
2/3/10,101.659
2/4/10,101.589
2/5/10,101.293
2/8/10,100.997
2/9/10,100.712
2/10/10,100.236
2/11/10,100.068
2/12/10,99.92
2/15/10,99.952
2/16/10,100.014
2/17/10,100.386
2/18/10,100.672
2/19/10,100.904
2/22/10,101.159
2/23/10,101.189
2/24/10,101.255
2/25/10,101.241
2/26/10,101.279
3/1/10,101.532
3/2/10,101.783
3/3/10,101.917
3/4/10,102.051
3/5/10,102.248
3/8/10,102.589
3/9/10,102.816
3/10/10,103.087
3/11/10,103.15
3/12/10,103.258
3/15/10,103.341
3/16/10,103.416
3/17/10,103.607
3/18/10,103.713
3/19/10,103.751
3/22/10,103.828
3/23/10,103.899
3/24/10,103.951
3/25/10,104.023
3/26/10,104.117
3/29/10,104.247
3/30/10,104.304
3/31/10,104.362
4/1/10,104.367
4/2/10,104.38
4/5/10,104.537
4/6/10,104.651
4/7/10,104.751
4/8/10,104.765
4/9/10,104.874
4/12/10,105.052
4/13/10,105.166
4/14/10,105.351
4/15/10,105.579
4/16/10,105.714
4/19/10,105.787
4/20/10,105.899
4/21/10,106.005
4/22/10,106.044
4/23/10,106.149
4/26/10,106.348
4/27/10,106.409
4/28/10,106.406
4/29/10,106.465
4/30/10,106.52
5/3/10,106.624
5/4/10,106.629
5/5/10,106.37
5/6/10,105.444
5/7/10,104.521
5/10/10,104.984
5/11/10,104.889
5/12/10,105.184
5/13/10,105.347
5/14/10,105.172
5/17/10,105.233
5/18/10,105.102
5/19/10,104.708
5/20/10,103.883
5/21/10,103.538
5/24/10,103.544
5/25/10,102.918
5/26/10,103.053
5/27/10,103.153
5/28/10,103.289
5/31/10,103.351
6/1/10,103.339
6/2/10,103.312
6/3/10,103.452
6/4/10,103.449
6/7/10,103.491
6/8/10,103.304
6/9/10,103.221
6/10/10,103.128
6/11/10,103.146
6/14/10,103.215
6/15/10,103.395
6/16/10,103.598
6/17/10,103.934
6/18/10,104.18
6/21/10,104.65
6/22/10,104.759
6/23/10,104.827
6/24/10,104.758
6/25/10,104.792
6/28/10,104.892
6/29/10,104.804
6/30/10,104.792
7/1/10,104.67
7/2/10,104.699
7/5/10,104.713
7/6/10,104.724
7/7/10,104.792
7/8/10,104.943
7/9/10,105.115
7/12/10,105.317
7/13/10,105.592
7/14/10,105.855
7/15/10,106.072
7/16/10,106.145
7/19/10,106.311
7/20/10,106.452
7/21/10,106.645
7/22/10,106.823
7/23/10,107.007
7/26/10,107.28
7/27/10,107.515
7/28/10,107.692
7/29/10,107.777
7/30/10,107.863
8/2/10,108.023
8/3/10,108.13
8/4/10,108.275
8/5/10,108.357
8/6/10,108.443
8/9/10,108.608
8/10/10,108.641
8/11/10,108.469
8/12/10,108.337
8/13/10,108.276
8/16/10,108.305
8/17/10,108.313
8/18/10,108.307
8/19/10,108.343
8/20/10,108.328
8/23/10,108.389
8/24/10,108.363
8/25/10,108.303
8/26/10,108.326
