Date,PX_LAST
09/30/02,102.17
10/31/02,101.38
11/29/02,100.59
12/31/02,102.93
1/31/03,103.39
2/28/03,106
3/31/03,105.9
4/30/03,105.83
5/30/03,107.83
6/30/03,107.93
7/31/03,105.62
8/29/03,106.79
9/30/03,109.01
10/31/03,108.74
11/28/03,108.44
12/31/03,108.9
1/30/04,109.48
2/27/04,111.14
3/31/04,112.33
4/30/04,110.08
5/31/04,111.09
6/30/04,111.03
7/30/04,112.18
8/31/04,113.27
9/30/04,113.19
10/29/04,114.18
11/30/04,113.93
12/31/04,114.3
1/31/05,113.44
2/28/05,113.42
3/31/05,113.53
4/29/05,114.66
5/31/05,114.94
6/30/05,115.15
7/29/05,113.97
8/31/05,115.78
9/30/05,116.36
10/31/05,115.79
11/30/05,115.79
12/30/05,116.16
1/31/06,116.29
2/28/06,116.1
3/31/06,116.02
4/28/06,116.85
5/31/06,117.33
6/30/06,117.74
7/31/06,118.73
8/31/06,119.31
9/29/06,119.44
10/31/06,119.22
11/30/06,119.96
12/29/06,119.22
1/31/07,119.44
2/28/07,120.98
3/30/07,122.02
4/30/07,122.85
5/31/07,122.31
6/29/07,122.81
7/31/07,124.02
8/31/07,124.97
9/28/07,126.21
10/31/07,127.27
11/30/07,130.5
12/31/07,130.91
1/31/08,133.68
2/29/08,136.18
3/31/08,136.16
4/30/08,134.95
5/30/08,135.69
6/30/08,137.72
7/31/08,136.94
8/29/08,137.77
9/30/08,135.35
10/31/08,127.93
11/28/08,126.69
12/31/08,128.25
1/30/09,131.68
2/27/09,131.05
3/31/09,134.55
4/30/09,134.47
5/29/09,136.46
6/30/09,136.43
7/31/09,136.75
8/31/09,137.78
9/30/09,139.29
10/30/09,140.95
11/30/09,142.77
12/31/09,141.91
1/29/10,143.21
2/26/10,142.98
3/31/10,143.07
4/30/10,143.96
5/31/10,143.23
6/3/10,143.34
6/4/10,143.51
6/7/10,143.51
6/8/10,143.5
6/9/10,143.43
6/10/10,143.24
6/11/10,143.42
6/14/10,143.47
6/15/10,143.45
6/16/10,143.51
6/17/10,143.85
6/18/10,143.76
6/21/10,143.88
6/22/10,144.13
6/23/10,144.03
6/24/10,143.98
6/25/10,144.13
6/28/10,144.26
6/29/10,144.27
6/30/10,144.29
7/1/10,144.02
7/2/10,143.87
