Date,PX_LAST
12/31/87,100
1/1/88,100
1/4/88,99.84
1/5/88,103.83
1/6/88,106.41
1/7/88,107.8
1/8/88,108.32
1/11/88,105.17
1/12/88,107.44
1/13/88,105.73
1/14/88,104.95
1/15/88,106.18
1/18/88,109.35
1/19/88,110.36
1/20/88,110.95
1/21/88,109.91
1/22/88,109.99
1/25/88,110.05
1/26/88,108.63
1/27/88,107.86
1/28/88,108.73
1/29/88,109.42
2/1/88,108.93
2/2/88,108.64
2/3/88,109.42
2/4/88,109.02
2/5/88,107.78
2/8/88,108.08
2/9/88,108.3
2/10/88,108.44
2/11/88,108.56
2/12/88,108.03
2/15/88,109.08
2/16/88,109.66
2/17/88,109.83
2/18/88,110.08
2/19/88,109.86
2/22/88,110.11
2/23/88,110.6
2/24/88,110.53
2/25/88,109.94
2/26/88,108.8
2/29/88,109.68
3/1/88,111.33
3/2/88,111.14
3/3/88,111.74
3/4/88,113.17
3/7/88,113.89
3/8/88,114.29
3/9/88,114.1
3/10/88,114.51
3/11/88,114.93
3/14/88,115.58
3/15/88,115.33
3/16/88,114.55
3/17/88,115.96
3/18/88,117.39
3/21/88,117.89
3/22/88,117.72
3/23/88,119.53
3/24/88,120.46
3/25/88,119.71
3/28/88,119.55
3/29/88,119.69
3/30/88,120.7
3/31/88,120.64
4/1/88,120.68
4/4/88,119.08
4/5/88,118.02
4/6/88,119.06
4/7/88,119.94
4/8/88,120.88
4/11/88,121.57
4/12/88,122.62
4/13/88,123.08
4/14/88,123.48
4/15/88,120.64
4/18/88,120.86
4/19/88,119.52
4/20/88,121.14
4/21/88,122.76
4/22/88,124.65
4/25/88,124.97
4/26/88,124.55
4/27/88,125.7
4/28/88,126.79
4/29/88,126.27
5/2/88,124.97
5/3/88,124.28
5/4/88,123.11
5/5/88,121.15
5/6/88,121.18
5/9/88,121.47
5/10/88,120.97
5/11/88,122.34
5/12/88,122.29
5/13/88,122.72
5/16/88,123.31
5/17/88,123.91
5/18/88,124.22
5/19/88,125.43
5/20/88,126.76
5/23/88,127.33
5/24/88,127.09
5/25/88,128.25
5/26/88,128.01
5/27/88,129.04
5/30/88,128.7
5/31/88,129.62
6/1/88,131.39
6/2/88,131.27
6/3/88,130.92
6/6/88,129.98
6/7/88,131.42
6/8/88,131.39
6/9/88,132.44
6/10/88,131.89
6/13/88,131.07
6/14/88,131.4
6/15/88,132.52
6/16/88,132.18
6/17/88,134.42
6/20/88,135.26
6/21/88,134.23
6/22/88,134.66
6/23/88,134.47
6/24/88,133.74
6/27/88,132.49
6/28/88,132.8
6/29/88,134.25
6/30/88,133.71
7/1/88,134.25
7/4/88,134.06
7/5/88,133.46
7/6/88,133.28
7/7/88,132.72
7/8/88,132.32
7/11/88,132.12
7/12/88,132.03
7/13/88,132.22
7/14/88,131.75
7/15/88,130.9
7/18/88,130.01
7/19/88,129.52
7/20/88,129.17
7/21/88,129.79
7/22/88,130.41
7/25/88,129.18
7/26/88,127.72
7/27/88,128.41
7/28/88,129.31
7/29/88,129.92
8/1/88,130.01
8/2/88,129.34
8/3/88,128.68
8/4/88,128.88
8/5/88,128.95
8/8/88,128.9
8/9/88,128.74
8/10/88,128.78
8/11/88,128.58
8/12/88,129.27
8/15/88,129.43
8/16/88,128.23
8/17/88,128.86
8/18/88,128.89
8/19/88,128.34
8/22/88,127.39
8/23/88,126.57
8/24/88,127.6
8/25/88,127.58
8/26/88,127.67
8/29/88,126.39
8/30/88,125.92
8/31/88,125.92
9/1/88,125.63
9/2/88,126.41
9/5/88,127.67
9/6/88,127.89
9/7/88,128.25
9/8/88,129.6
9/9/88,129.81
9/12/88,129.53
9/13/88,129.15
9/14/88,130.73
9/15/88,130.86
9/16/88,131.45
9/19/88,132
9/20/88,132.87
9/21/88,133.07
9/22/88,133.08
9/23/88,133.65
9/26/88,134.17
9/27/88,134.38
9/28/88,133.21
9/29/88,133.17
9/30/88,133.74
10/3/88,134.21
10/4/88,134.7
10/5/88,133.34
10/6/88,132.23
10/7/88,132.75
10/10/88,133.52
10/11/88,132.99
10/12/88,132.89
10/13/88,130.78
10/14/88,131.29
10/17/88,131.47
10/18/88,132.4
10/19/88,131.79
10/20/88,130.73
10/21/88,130.93
10/24/88,130.88
10/25/88,130.76
10/26/88,130.35
10/27/88,131.36
10/28/88,132.46
10/31/88,132.54
11/1/88,131.83
11/2/88,132.75
11/3/88,133.66
11/4/88,135.62
11/7/88,137.23
11/8/88,137.3
11/9/88,138.26
11/10/88,136.99
11/11/88,136.46
11/14/88,135.46
11/15/88,135.27
11/16/88,134.38
11/17/88,134.84
11/18/88,135.92
11/21/88,134.4
11/22/88,133.6
11/23/88,133.14
11/24/88,133.96
11/25/88,133.1
11/28/88,130.94
11/29/88,131.08
11/30/88,131.76
12/1/88,131.05
12/2/88,130.31
12/5/88,128.77
12/6/88,127.66
12/7/88,127.47
12/8/88,128.37
