Date,PX_LAST
12/29/78,54.13
1/2/79,54.46
1/3/79,55.09
1/4/79,55.6
1/5/79,55.98
1/8/79,55.84
1/9/79,56.13
1/10/79,55.85
1/11/79,56.11
1/12/79,56.57
1/15/79,56.94
1/16/79,56.3
1/17/79,56.28
1/18/79,56.54
1/19/79,56.53
1/22/79,56.58
1/23/79,56.95
1/24/79,56.75
1/25/79,57.29
1/26/79,57.66
1/29/79,57.5
1/30/79,57.29
1/31/79,56.65
2/1/79,56.67
2/2/79,56.47
2/5/79,55.69
2/6/79,55.71
2/7/79,55.17
2/8/79,55.45
2/9/79,55.6
2/12/79,55.77
2/13/79,56.2
2/14/79,56.14
2/15/79,56.12
2/16/79,56.14
2/20/79,56.55
2/21/79,56.4
2/22/79,55.97
2/23/79,55.66
2/26/79,55.58
2/27/79,54.65
2/28/79,54.69
3/1/79,55.07
3/2/79,55.14
3/5/79,55.74
3/6/79,55.62
3/7/79,56
3/8/79,56.59
3/9/79,56.6
3/12/79,56.69
3/13/79,56.83
3/14/79,56.82
3/15/79,56.96
3/16/79,57.41
3/19/79,57.63
3/20/79,57.34
3/21/79,57.73
3/22/79,57.98
3/23/79,58
3/26/79,57.71
3/27/79,58.49
3/28/79,58.3
3/29/79,58.32
3/30/79,58.13
4/2/79,57.74
4/3/79,58.52
4/4/79,58.7
4/5/79,59.05
4/6/79,59.03
4/9/79,58.87
4/10/79,59.13
4/11/79,58.61
4/12/79,58.49
4/16/79,58
4/17/79,58
4/18/79,58.32
4/19/79,58.12
4/20/79,58.14
4/23/79,58.31
4/24/79,58.63
4/25/79,58.84
4/26/79,58.57
4/27/79,58.45
4/30/79,58.43
5/1/79,58.43
5/2/79,58.45
5/3/79,58.48
5/4/79,57.89
5/7/79,56.83
5/8/79,56.82
5/9/79,57.01
5/10/79,56.52
5/11/79,56.56
5/14/79,56.27
5/15/79,56.32
5/16/79,56.45
5/17/79,57.29
5/18/79,57.35
5/21/79,57.48
5/22/79,57.73
5/23/79,57.48
5/24/79,57.53
5/25/79,57.73
5/29/79,57.67
5/30/79,57.13
5/31/79,57.15
6/1/79,57.22
6/4/79,57.32
6/5/79,58.01
6/6/79,58.4
6/7/79,58.75
6/8/79,58.64
6/11/79,58.79
6/12/79,59.35
6/13/79,59.15
6/14/79,59.05
6/15/79,59.1
6/18/79,58.76
6/19/79,58.81
6/20/79,58.9
6/21/79,59.16
6/22/79,59.46
6/25/79,59.17
6/26/79,58.93
6/27/79,59.29
6/28/79,59.62
6/29/79,59.66
7/2/79,59.15
7/3/79,59.23
7/5/79,59.48
7/6/79,60.11
7/9/79,60.58
7/10/79,60.41
7/11/79,60.06
7/12/79,59.61
7/13/79,59.41
7/16/79,59.67
7/17/79,59.12
7/18/79,59.01
7/19/79,59.02
7/20/79,59.18
7/23/79,59.03
7/24/79,59.23
7/25/79,59.87
7/26/79,59.94
7/27/79,60.01
7/30/79,60.06
7/31/79,60.42
8/1/79,60.63
8/2/79,60.67
8/3/79,60.64
8/6/79,60.74
8/7/79,61.44
8/8/79,61.63
8/9/79,61.45
8/10/79,61.97
8/13/79,62.49
8/14/79,62.57
8/15/79,63.03
8/16/79,62.93
8/17/79,63.11
8/20/79,63.42
8/21/79,63.48
8/22/79,63.6
8/23/79,63.44
8/24/79,63.44
8/27/79,63.72
8/28/79,63.64
8/29/79,63.66
8/30/79,63.68
8/31/79,63.92
9/4/79,62.89
9/5/79,62.15
9/6/79,62.48
9/7/79,62.98
9/10/79,63.28
9/11/79,62.86
9/12/79,63.09
9/13/79,63.13
9/14/79,63.72
9/17/79,63.68
9/18/79,63.19
9/19/79,63.35
9/20/79,64.47
9/21/79,64.47
9/24/79,63.98
9/25/79,64.01
9/26/79,64.21
9/27/79,64.32
9/28/79,63.89
10/1/79,63.52
10/2/79,64.05
10/3/79,64.14
10/4/79,64.53
10/5/79,65.11
10/8/79,64.33
10/9/79,62.16
10/10/79,61.03
10/11/79,61.02
10/12/79,60.83
10/15/79,60.08
10/16/79,59.97
10/17/79,60.15
10/18/79,60.28
10/19/79,59.05
