Date,PX_LAST
6/17/05,826.04
6/20/05,824.15
6/21/05,816.33
6/22/05,815.83
6/23/05,814.42
6/24/05,810.6
6/27/05,809.28
6/28/05,812.61
6/29/05,814.42
6/30/05,815.23
7/1/05,822.42
7/5/05,831.96
7/6/05,827.47
7/7/05,831.39
7/8/05,844.19
7/11/05,854.94
7/12/05,855.23
7/13/05,849.33
7/14/05,834.35
7/15/05,838.87
7/18/05,840.43
7/19/05,846.89
7/20/05,854.49
7/21/05,841.92
7/22/05,849.13
7/25/05,851.64
7/26/05,859.25
7/27/05,861.62
7/28/05,872.48
7/29/05,871.44
8/1/05,871.69
8/2/05,878.72
8/3/05,875.74
8/4/05,858.7
8/5/05,829.16
8/8/05,798.97
8/9/05,806.11
8/10/05,809.81
8/11/05,818.91
8/12/05,820.21
8/15/05,826.91
8/16/05,830.89
8/17/05,823.8
8/18/05,817.78
8/19/05,814.55
8/22/05,819.69
8/23/05,820.64
8/24/05,823.6
8/25/05,827.05
8/26/05,817.1
8/29/05,815.77
8/30/05,817.24
8/31/05,834.75
9/1/05,839.34
9/2/05,837.13
9/6/05,856.63
9/7/05,850.69
9/8/05,848.55
9/9/05,852.01
9/12/05,849.51
9/13/05,843.44
9/14/05,841.79
9/15/05,844.25
9/16/05,844.24
9/19/05,836.91
9/20/05,831.41
9/21/05,814.11
9/22/05,816.73
9/23/05,818.51
9/26/05,822.2
9/27/05,820.41
9/28/05,811.91
9/29/05,824.05
9/30/05,834.46
10/3/05,837.25
10/4/05,822.65
10/5/05,807.66
10/6/05,805.81
10/7/05,799.15
10/10/05,788.55
10/11/05,783.16
10/12/05,769.96
10/13/05,769.22
10/14/05,787.08
10/17/05,790.75
10/18/05,782.11
10/19/05,792.65
10/20/05,780.9
10/21/05,789.87
10/24/05,805.1
10/25/05,800.33
10/26/05,793.37
10/27/05,783.88
10/28/05,806.4
10/31/05,812.27
11/1/05,794.12
11/2/05,801.27
11/3/05,796.75
11/4/05,794.19
11/7/05,798.65
11/8/05,795.11
11/9/05,803.64
11/10/05,820.71
11/11/05,827.19
11/14/05,822.81
11/15/05,821
11/16/05,817.64
11/17/05,829.73
11/18/05,834.89
11/21/05,838.9
11/22/05,847.74
11/23/05,852.06
11/25/05,853.56
11/28/05,844.66
11/29/05,847.41
11/30/05,843.61
12/1/05,853.61
12/2/05,851.83
12/5/05,845.28
12/6/05,842.75
12/7/05,838.08
12/8/05,844.36
12/9/05,847.97
12/12/05,846.39
