Date,PX_LAST
1/2/62,4.06
1/3/62,4.03
1/4/62,3.99
1/5/62,4.022
1/8/62,4.032
1/9/62,4.052
1/10/62,4.072
1/11/62,4.082
1/12/62,4.082
1/15/62,4.102
1/16/62,4.132
1/17/62,4.122
1/18/62,4.112
1/19/62,4.112
1/22/62,4.092
1/23/62,4.112
1/24/62,4.102
1/25/62,4.112
1/26/62,4.112
1/29/62,4.122
1/30/62,4.112
1/31/62,4.102
2/1/62,4.092
2/2/62,4.082
2/5/62,4.072
2/6/62,4.062
2/7/62,4.072
2/8/62,4.072
2/9/62,4.052
2/13/62,4.032
2/14/62,4.032
2/15/62,4.022
2/16/62,4.022
2/19/62,4.102
2/20/62,4.052
2/21/62,4.032
2/23/62,4.022
2/26/62,4.002
2/27/62,4.012
2/28/62,4.002
3/1/62,3.982
3/2/62,3.982
3/5/62,4.002
3/6/62,4.012
3/7/62,4.002
3/8/62,3.982
3/9/62,3.962
3/12/62,3.942
3/13/62,3.922
3/14/62,3.932
3/15/62,3.962
3/16/62,3.962
3/19/62,3.932
3/20/62,3.912
3/21/62,3.862
3/22/62,3.832
3/23/62,3.872
3/26/62,3.892
3/27/62,3.902
3/28/62,3.902
3/29/62,3.902
3/30/62,3.862
4/2/62,3.862
4/3/62,3.832
4/4/62,3.782
4/5/62,3.842
4/6/62,3.812
4/9/62,3.832
4/10/62,3.832
4/11/62,3.872
4/12/62,3.862
4/13/62,3.852
4/16/62,3.832
4/17/62,3.822
4/18/62,3.812
4/19/62,3.822
4/23/62,3.862
4/24/62,3.872
4/25/62,3.882
4/26/62,3.892
4/27/62,3.862
4/30/62,3.862
5/1/62,3.852
5/2/62,3.862
5/3/62,3.862
5/4/62,3.872
5/7/62,3.862
5/8/62,3.852
5/9/62,3.822
5/10/62,3.832
5/11/62,3.822
5/14/62,3.852
5/15/62,3.872
5/16/62,3.862
5/17/62,3.872
5/18/62,3.932
5/21/62,3.942
5/22/62,3.932
5/23/62,3.912
5/24/62,3.902
5/25/62,3.882
5/28/62,3.872
5/29/62,3.892
5/31/62,3.902
6/1/62,3.892
6/4/62,3.882
6/5/62,3.892
6/6/62,3.892
6/7/62,3.872
6/8/62,3.862
6/11/62,3.872
6/12/62,3.862
6/13/62,3.872
6/14/62,3.902
6/15/62,3.892
6/18/62,3.912
6/19/62,3.932
6/20/62,3.922
6/21/62,3.902
6/22/62,3.902
6/25/62,3.952
6/26/62,3.972
6/27/62,3.962
6/28/62,3.982
6/29/62,4.002
7/2/62,4.002
7/3/62,4.002
7/5/62,4.002
7/6/62,4.022
7/9/62,4.052
7/10/62,4.022
7/11/62,3.992
7/12/62,4.002
7/13/62,4.002
7/16/62,4.012
7/17/62,4.032
7/18/62,4.022
7/19/62,4.022
7/20/62,4.012
7/23/62,4.002
7/24/62,4.012
7/25/62,4.022
7/26/62,4.012
7/27/62,4.022
7/30/62,4.032
7/31/62,4.042
8/1/62,4.032
8/2/62,4.002
8/3/62,4.012
8/6/62,4.012
8/7/62,4.022
8/8/62,4.012
8/9/62,3.992
8/10/62,3.992
8/13/62,3.992
8/14/62,3.982
8/15/62,3.982
8/16/62,3.962
8/17/62,3.962
8/20/62,3.942
8/21/62,3.942
8/22/62,3.952
8/23/62,3.952
8/24/62,3.952
8/27/62,3.952
8/28/62,3.962
8/29/62,3.962
8/30/62,3.952
8/31/62,3.962
9/4/62,3.962
9/5/62,3.972
9/6/62,3.992
9/7/62,4.012
9/10/62,4.002
9/11/62,4.002
9/12/62,4.002
9/13/62,3.992
9/14/62,3.992
9/17/62,3.992
9/18/62,3.982
9/19/62,3.992
9/20/62,3.982
9/21/62,3.982
9/24/62,3.972
9/25/62,3.962
9/26/62,3.952
9/27/62,3.952
9/28/62,3.942
10/1/62,3.932
10/2/62,3.922
10/3/62,3.902
10/4/62,3.902
10/5/62,3.922
10/8/62,3.932
10/9/62,3.952
10/10/62,3.932
