"","0.9","0.95","0.99"
"AGG",-0.121133974972699,-0.128352492777544,-0.128352492777544
"HYG",-0.331491875643373,-0.341997964828602,NA
"TIP",-0.137305967504297,-0.144965214054007,-0.145671703187339
"BCOM",-0.399049931393562,-0.492600329280562,-0.571349984513756
"BUHY",-0.0793374837124774,-0.0793374837124774,-0.0861254508489373
"G0O1",-0.00229985461291824,-0.00254748846915404,-0.00255014804011278
"LTP5TRUU",-0.0314767874329352,-0.031687452277934,NA
"MXEA",-0.361481963350823,-0.42613087809037,-0.567041379374578
"MXEF",-0.486320375926126,-0.588059974859671,-0.645607938042957
"RAY",-0.37562868025517,-0.440616612307964,-0.524162872883459
"RMZ",-0.67084785310529,-0.698553964895905,-0.700163526336073
"SPX",-0.34071173383106,-0.391464409988996,-0.50303658413039
"USGG10YR",-0.428817368041696,-0.483663722331581,-0.539551087874044
