"","0.9","0.95","0.99"
"AGG",-0.128352492777544,-0.128352492777544,-0.128352492777544
"HYG",-0.342351408209788,-0.342468170755359,NA
"TIP",-0.145671703187339,-0.145671703187339,NA
"BCOM",-0.533761742884,-0.571349984513756,NA
"BUHY",-0.0780376602182617,-0.0861254508489373,-0.0863574134802122
"G0O1",-0.00253367585869209,-0.00255014804011267,-0.00255014804011278
"LTP5TRUU",-0.0330473507681406,-0.0333677100436936,-0.0342070191026225
"MXEA",-0.502112995590571,-0.580784449103742,-0.61846412753167
"MXEF",-0.624460774649721,-0.659026251678039,NA
"RAY",-0.479463312006478,-0.543344581799334,NA
"RMZ",-0.73702552651057,-0.745588379250525,-0.749272736774261
"SPX",-0.44620492069185,-0.504656504583051,-0.56768751354394
"USGG10YR",-0.547912371480882,-0.591358518100022,-0.628237132273171
