"","0.9","0.95","0.99"
"AGG",-0.081266589271543,-0.114472523557642,-0.128352492777544
"HYG",-0.264346819609453,-0.307734448350196,-0.322556983198951
"TIP",-0.111486944957756,-0.129095425804445,-0.143882460623334
"BCOM",-0.266136469199485,-0.33661531677423,-0.517358468898424
"BUHY",-0.073356564254092,-0.0766933664695837,-0.0774194699845902
"G0O1",-0.00142080730335362,-0.00227469434657604,-0.00255014804011267
"LTP5TRUU",-0.0297112142778694,-0.0303357238052929,-0.030335723805293
"MXEA",-0.272116160602452,-0.317875403214755,-0.471070107239021
"MXEF",-0.363525112189188,-0.43299949199074,-0.596300373634348
"RAY",-0.278067976292763,-0.340751719807522,-0.450762467935096
"RMZ",-0.520426778718928,-0.62408832624387,-0.676147514040769
"SPX",-0.251834684981749,-0.306548332539652,-0.406872083864136
"USGG10YR",-0.32777194411186,-0.389966255363553,-0.49282214542656
