"","0.9","0.95","0.99"
"AGG",-0.00290586541143254,-0.00401137968655878,-0.00691078833142495
"HYG",-0.00618929078327951,-0.0103009697145286,-0.0250064251686895
"TIP",-0.00441732633827182,-0.00621989936495942,-0.0101464177148884
"BCOM",-0.010404834649112,-0.0147400513369668,-0.0261571646492432
"BUHY",-0.00163405251075867,-0.00290984979817945,-0.00657300934576347
"G0O1",-2.91022113308399e-06,-2.03441651481346e-05,-0.000126403687794775
"LTP5TRUU",-0.00123334983911925,-0.00179984283061666,-0.00292172699937287
"MXEA",-0.0102102092227294,-0.0146189824741437,-0.0259081959460313
"MXEF",-0.0120877320026424,-0.0175867796707353,-0.0331635951911603
"RAY",-0.0110638216372486,-0.0162392685534285,-0.029658667763032
"RMZ",-0.019079423967723,-0.0300079421828818,-0.0755748553452243
"SPX",-0.00988896090683272,-0.0143496367592144,-0.0257571684153563
"USGG10YR",-0.0126402240149864,-0.0194923772309321,-0.0359353863473048
