"","SR","sd","skewness","kurtosis"
"AGG",0.0516459861429386,0.00318150569174813,-2.51024226913645,81.360619883596
"HYG",0.0250031089691308,0.00841319906867864,0.865682891234117,36.7429909116137
"TIP",0.0401992861834117,0.00410439190142228,0.0954061100300085,6.48661925390025
"BCOM",0.000756186611563374,0.00938705321723394,-0.271758034211665,4.33655460909889
"BUHY",0.123733033123577,0.00189653420065618,-1.78493341264305,11.2805753694392
"G0O1",0.71672320455916,0.000149171634454961,0.685347560209038,26.7670058605631
"LTP5TRUU",0.0401513271348906,0.00113442098087339,0.161482417946567,1.79247507325245
"MXEA",0.0299718305500187,0.00973854564247063,-0.315325087456106,10.7456416598746
"MXEF",0.0306919888010548,0.0113476071648321,-0.393319945977834,7.71386771758319
"RAY",0.0359522620295614,0.0108912622592748,-0.6614102867691,17.2215941459555
"RMZ",0.0162351661342145,0.0230408680258394,0.356585672471937,13.6885832031929
"SPX",0.0347500279669581,0.00966714637464819,-0.64931296188789,21.1192492705981
"USGG10YR",0.00305016290759354,0.0126913637655183,0.115883018968059,8.8115789175427
